bid_datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
6/7/2024 10:00:00 AM,6/7/2024 6:00:00 AM,171648.80,172173.50,172352.50
6/7/2024 11:00:00 AM,6/7/2024 7:00:00 AM,173970.30,174274.10,172352.50
6/7/2024 12:00:00 PM,6/7/2024 8:00:00 AM,175408.80,175736.20,172352.50
6/7/2024 1:00:00 PM,6/7/2024 9:00:00 AM,176970.80,177245.60,172352.50
6/7/2024 2:00:00 PM,6/7/2024 10:00:00 AM,179733.80,179995.60,172352.50
6/7/2024 3:00:00 PM,6/7/2024 11:00:00 AM,180566.40,180748.60,172352.50
6/7/2024 4:00:00 PM,6/7/2024 12:00:00 PM,181104.90,181294.30,172352.50
6/7/2024 5:00:00 PM,6/7/2024 1:00:00 PM,181078.10,181266.80,172352.50
6/7/2024 6:00:00 PM,6/7/2024 2:00:00 PM,180511.20,180697.70,172352.50
6/7/2024 7:00:00 PM,6/7/2024 3:00:00 PM,180124.10,180578.30,172352.50
6/7/2024 8:00:00 PM,6/7/2024 4:00:00 PM,180041.10,180504.00,172352.50
6/7/2024 9:00:00 PM,6/7/2024 5:00:00 PM,179893.40,180088.10,172352.50
6/7/2024 10:00:00 PM,6/7/2024 6:00:00 PM,177246.50,177487.40,172352.50
6/7/2024 11:00:00 PM,6/7/2024 7:00:00 PM,172463.20,172767.10,172352.50
6/8/2024 12:00:00 AM,6/7/2024 8:00:00 PM,174449.10,176220.00,172352.50
6/8/2024 1:00:00 AM,6/7/2024 9:00:00 PM,174144.60,175928.00,172352.50
6/8/2024 2:00:00 AM,6/7/2024 10:00:00 PM,174234.20,176017.60,172352.50
6/8/2024 3:00:00 AM,6/7/2024 11:00:00 PM,174707.90,176524.30,172352.50
6/8/2024 4:00:00 AM,6/8/2024 12:00:00 AM,164147.30,164983.00,172374.10
6/8/2024 5:00:00 AM,6/8/2024 1:00:00 AM,164477.90,165474.50,172374.10
6/8/2024 6:00:00 AM,6/8/2024 2:00:00 AM,163748.50,164739.60,172374.10
6/8/2024 7:00:00 AM,6/8/2024 3:00:00 AM,164005.20,164989.00,172374.10
6/8/2024 8:00:00 AM,6/8/2024 4:00:00 AM,164203.60,165181.60,172374.10
6/8/2024 9:00:00 AM,6/8/2024 5:00:00 AM,165441.10,166418.90,172374.10
6/8/2024 10:00:00 AM,6/8/2024 6:00:00 AM,166505.50,167615.90,172374.10
6/8/2024 11:00:00 AM,6/8/2024 7:00:00 AM,169523.40,169969.70,172374.10
6/8/2024 12:00:00 PM,6/8/2024 8:00:00 AM,171052.70,171379.50,172374.10
