,Ours,Competitor1,Competitor2,PJM,Demand
2024-07-31 13:00:00,536001831.8315137,491409934.3797266,481975733.6356032,867493205,468799253.0
2024-07-31 14:00:00,536153451.07915354,491550712.72109646,482070895.5422108,867667381,468938950.0
2024-07-31 15:00:00,536306009.921215,491692069.2493156,482165737.61118054,867841485,469081362.0
2024-07-31 16:00:00,536458667.0981832,491836900.01123345,482260260.23037785,868013593,469225659.0
2024-07-31 17:00:00,536611324.27515143,491985650.01123345,482354463.81083983,868185217,469370285.0
2024-07-31 18:00:00,536763981.45211965,492130983.01123345,482448348.78822696,868354792,469513410.0
2024-07-31 19:00:00,536915600.6997595,492272038.19835675,482541915.6243686,868522775,469652968.0
2024-07-31 20:00:00,537063844.0063387,492410084.6345211,482635164.8089084,868700170,469787384.0
2024-07-31 21:00:00,537207487.3635273,492539815.6345211,482728096.86105645,868877717,469916080.0
2024-07-31 22:00:00,537348990.2754037,492668484.7805485,482820712.3314551,869055949,470036173.0
2024-07-31 23:00:00,537471153.763016,492786457.7805485,482913011.80416614,869234538,470147325.0
2024-08-01 00:00:00,537586860.8787576,492899424.6783567,483012713.85957265,869401176,470250857.0
2024-08-01 01:00:00,537697832.9729741,493004076.0920553,483112090.5157501,869568025,470348450.0
2024-08-01 02:00:00,537802295.0805128,493104137.0920553,483211141.8406986,869735299,470441724.0
2024-08-01 03:00:00,537902655.5786752,493201096.0920553,483309867.90604466,869902155,470532111.0
2024-08-01 04:00:00,538003016.0768375,493295588.1471238,483408268.78725195,870069191,470621603.0
2024-08-01 05:00:00,538104517.9437015,493393441.3257539,483506344.56384486,870237137,470712877.0
2024-08-01 06:00:00,538211588.2115804,493493078.10739774,483604095.3196457,870404919,470807786.0
2024-08-01 07:00:00,538327156.2361039,493598529.334521,483701521.14302665,870574381,470908170.0
2024-08-01 08:00:00,538444076.0597099,493709663.41890454,483798622.1271771,870744870,471015108.0
2024-08-01 09:00:00,538581302.7749274,493827512.9271237,483895398.3703878,870916103,471129092.0
2024-08-01 10:00:00,538726410.8076037,493956225.9271237,483991849.9763519,871088379,471250848.0
2024-08-01 11:00:00,538871633.9360373,494090252.9271237,484087977.0544856,871261321,471379941.0
2024-08-01 12:00:00,539022618.6448989,494232499.5334251,484183779.72026795,871435693,471515520.0
2024-08-01 13:00:00,539175177.4869603,494374752.5334251,484279258.0956019,871609914,471655796.0
2024-08-01 14:00:00,539327834.6639285,494523496.5334251,484374412.3091985,871783356,471799328.0
2024-08-01 15:00:00,539480491.8408967,494669529.84465796,484469242.4969841,871956487,471945430.0
2024-08-01 16:00:00,539633149.017865,494817739.84465796,484563748.8025339,872129009,472093251.0
2024-08-01 17:00:00,539785806.1948332,494965937.96465796,484657931.3775322,872301157,472241902.0
2024-08-01 18:00:00,539938463.3718014,495113135.46794564,484751790.3822615,872471498,472389419.0
2024-08-01 19:00:00,540091022.2138628,495259375.34575385,484845325.98612297,872639824,472533226.0
2024-08-01 20:00:00,540241677.0099359,495402848.34575385,484938538.36818886,872817418,472671958.0
2024-08-01 21:00:00,540387464.6272894,495540017.884384,485031427.7177903,872995153,472804771.0
2024-08-01 22:00:00,540532572.6599658,495664492.884384,485123994.2351424,873174800,472928847.0
2024-08-01 23:00:00,540659994.347046,495780981.8665758,485216238.13200843,873354538,473043962.0
2024-08-02 00:00:00,540775701.4627876,495893958.8000004,485314461.9566896,873521576,473151335.0
2024-08-02 01:00:00,540887155.2539409,496003947.6484936,485412360.52425253,873688411,473252847.0
2024-08-02 02:00:00,540991617.3614796,496102998.444658,485509933.9103164,873855320,473350080.0
2024-08-02 03:00:00,541092728.5710818,496200608.2706854,485607182.1945706,874022781,473444547.0
2024-08-02 04:00:00,541193089.0692441,496297543.75479496,485704105.4610129,874190799,473538255.0
2024-08-02 05:00:00,541296294.8472992,496395995.75479496,485800703.7982019,874358799,473633647.0
2024-08-02 06:00:00,541403512.4266232,496496155.2323292,485896977.29952514,874527378,473732315.0
2024-08-02 07:00:00,541519080.4511467,496602555.5095895,485992926.0634837,874697064,473835753.0
2024-08-02 08:00:00,541635286.2364771,496714161.5095895,486088550.19399464,874867936,473945331.0
2024-08-02 09:00:00,541765246.9627575,496831055.2084936,486183849.8007118,875040002,474061476.0
2024-08-02 10:00:00,541906749.8746339,496959536.03205526,486278824.99936694,875212795,474184115.0
2024-08-02 11:00:00,542049651.7208588,497090189.03205526,486373475.91213185,875386513,474312518.0
2024-08-02 12:00:00,542197297.7011663,497225717.08137035,486467802.6680031,875561343,474446059.0
2024-08-02 13:00:00,542348915.6804154,497368242.4693156,486561805.4032108,875736745,474583830.0
2024-08-02 14:00:00,542500534.9280553,497510810.68493205,486655484.2616531,875912203,474724905.0
2024-08-02 15:00:00,542652480.4572479,497653386.68493205,486748839.39535767,876087316,474867298.0
2024-08-02 16:00:00,542805039.2993093,497796731.2575348,486841870.9649722,876261735,475009805.0
2024-08-02 17:00:00,542956984.8285018,497939289.11205536,486934579.1402862,876434560,475150876.0
2024-08-02 18:00:00,543108604.0761417,498082687.1704115,487026964.100785,876606165,475287200.0
2024-08-02 19:00:00,543256250.0564492,498219779.34548,487119026.03623927,876777035,475417713.0
2024-08-02 20:00:00,543399151.9026741,498349438.7709595,487210765.1473314,876955189,475542940.0
2024-08-02 21:00:00,543544259.9353504,498475043.7709595,487302181.646322,877133850,475662848.0
2024-08-02 22:00:00,543675518.367296,498593145.7827403,487393275.7577582,877312758,475775799.0
2024-08-02 23:00:00,543791225.4830376,498703056.75589097,487484047.7192274,877492235,475881398.0
2024-08-03 00:00:00,543904622.1786469,498813014.27698684,487580793.610123,877660603,475980598.0
2024-08-03 01:00:00,544009084.2861856,498913630.615343,487677214.40201575,877828752,476074531.0
2024-08-03 02:00:00,544109444.784348,499008129.04438406,487773310.179079,877996396,476164839.0
2024-08-03 03:00:00,544204131.7219625,499100601.04438406,487869081.030058,878164715,476252444.0
2024-08-03 04:00:00,544298378.6823472,499190914.04438406,487964527.0485386,878332119,476338681.0
2024-08-03 05:00:00,544392625.6427319,499279942.04438406,488059648.3332327,878499515,476424949.0
2024-08-03 06:00:00,544486872.6031166,499369573.4356169,488154444.9882813,878667190,476511775.0
2024-08-03 07:00:00,544581559.5407311,499461733.29013747,488248917.1235764,878835608,476601236.0
2024-08-03 08:00:00,544686021.6482698,499564597.29013747,488343064.85510284,879005508,476696193.0
2024-08-03 09:00:00,544801589.6727933,499675555.81013745,488436888.3053014,879176420,476797753.0
2024-08-03 10:00:00,544918509.4963993,499792336.604384,488530387.60345477,879348193,476906648.0
2024-08-03 11:00:00,545055736.2116168,499911451.2484936,488623562.88609713,879520659,477022181.0
2024-08-03 12:00:00,545197547.8830405,500034263.72246623,488716414.29744995,879693460,477143902.0
2024-08-03 13:00:00,545342353.7258439,500164849.2397265,488808941.9898848,879866683,477270277.0
2024-08-03 14:00:00,545485255.5720688,500297283.2397265,488901146.12441516,880039866,477399773.0
2024-08-03 15:00:00,545628898.9292574,500431270.72109634,488993026.8712194,880212677,477530976.0
2024-08-03 16:00:00,545774686.546611,500565617.5334251,489084584.4101966,880384182,477662858.0
2024-08-03 17:00:00,545919909.6750445,500702848.5334251,489175818.9315574,880554752,477793394.0
2024-08-03 18:00:00,546062811.5212694,500839713.6136991,489266730.63645244,880724027,477919397.0
2024-08-03 19:00:00,546207829.3341668,500967696.6136991,489357319.7376402,880892388,478039959.0
2024-08-03 20:00:00,546345858.0678658,501089181.4276717,489447586.46019775,881068206,478155923.0
2024-08-03 21:00:00,546474709.8985273,501206231.14575386,489537531.0422763,881245013,478267520.0
