,Ours,Competitor1,Competitor2,PJM
2024-02-21 01:00:00,0.0,-17081.615616438386,-7188675.976955731,0.0
2024-02-21 02:00:00,0.0,-17081.615616438386,-7188675.976955731,0.0
2024-02-21 03:00:00,0.0,-17081.615616438386,-7188675.976955731,0.0
2024-02-21 04:00:00,0.0,-17081.615616438386,-7188675.976955731,0.0
2024-02-21 05:00:00,0.0,-17081.615616438386,-7188675.976955731,0.0
2024-02-21 06:00:00,0.0,-17081.615616438386,-7196855.416160251,0.0
2024-02-21 07:00:00,0.0,-17081.615616438386,-7208922.175610113,0.0
2024-02-21 08:00:00,0.0,-17081.615616438386,-7217932.234115186,0.0
2024-02-21 09:00:00,0.0,-17081.615616438386,-7222011.5694932435,0.0
2024-02-21 10:00:00,0.0,-17081.615616438386,-7222056.158517096,0.0
2024-02-21 11:00:00,0.0,-17081.615616438386,-7222056.158517096,0.0
2024-02-21 12:00:00,0.0,-17081.615616438386,-7222056.158517096,0.0
2024-02-21 13:00:00,0.0,-17081.615616438386,-7222056.158517096,0.0
2024-02-21 14:00:00,0.0,-17081.615616438386,-7222056.158517096,0.0
2024-02-21 15:00:00,0.0,-17081.615616438386,-7222056.158517096,0.0
2024-02-21 16:00:00,0.0,-17081.615616438386,-7222056.158517096,0.0
2024-02-21 17:00:00,0.0,-17081.615616438386,-7222056.158517096,0.0
2024-02-21 18:00:00,0.0,-17081.615616438386,-7225503.795094322,0.0
2024-02-21 19:00:00,0.0,-17081.615616438386,-7229862.418860613,0.0
2024-02-21 20:00:00,0.0,-17081.615616438386,-7233673.992459722,0.0
2024-02-21 21:00:00,0.0,-17081.615616438386,-7235449.476660701,0.0
2024-02-21 22:00:00,0.0,-17081.615616438386,-7235449.476660701,0.0
2024-02-21 23:00:00,0.0,-17081.615616438386,-7235449.476660701,0.0
2024-02-22 00:00:00,0.0,-17081.615616438386,-7235449.476660701,0.0
2024-02-22 01:00:00,0.0,-17081.615616438386,-7235449.476660701,0.0
2024-02-22 02:00:00,0.0,-17081.615616438386,-7235449.476660701,0.0
