Peak Time,mu,sigma,xi,mean,VaR,EUE
2020-05-26 17:00:00-04:00,101310.63007578431,3903.5061109453072,-0.2890623999111297,102671.91308907369,113553.53844535294,0.07748298182201649
2020-05-27 16:00:00-04:00,103937.73354750352,3937.1736108384707,-0.31751341216251516,105240.10744313223,115420.76438491268,0.06054878867581752
2020-05-28 17:00:00-04:00,103937.73354750352,3937.1736108384707,-0.31751341216251516,105240.10744313223,115420.76438491268,0.06054878867581752
2020-05-29 14:00:00-04:00,99910.85782570088,3807.7690086399525,-0.277005213654942,101268.41125776847,112239.8762330241,0.08422751274868873
2020-05-30 17:00:00-04:00,83896.71299304387,4678.437503973478,-0.4359485980701955,85121.318967032,94327.92907885987,0.02498865366632706
2020-05-31 18:00:00-04:00,82166.88257340659,4768.105170012297,-0.441429272100216,83400.64044770045,92679.3231217016,0.024255482235984012
2020-06-01 18:00:00-04:00,83791.66964097421,4673.727507114481,-0.43958939909276695,85005.71104471888,94134.83343307118,0.024167751586726512
2020-06-02 18:00:00-04:00,94468.21580425747,3270.803632928674,-0.2780767545075772,95632.05021819139,105028.41848675102,0.0716566492535241
2020-06-03 17:00:00-04:00,116982.63141618842,5153.469731085641,-0.13953473682031642,119325.06707589721,142157.09459214125,0.39450436335785816
2020-06-04 17:00:00-04:00,118466.12599998727,5442.804675077422,-0.14524546914523703,120915.80731404178,144554.56394859767,0.3956040978173356
2020-06-05 16:00:00-04:00,116982.63141618842,5153.469731085641,-0.13953473682031642,119325.06707589721,142157.09459214125,0.39450436335785816
2020-06-06 17:00:00-04:00,103937.73354750352,3937.1736108384707,-0.31751341216251516,105240.10744313223,115420.76438491268,0.06054878867581752
2020-06-07 18:00:00-04:00,94468.21580425747,3270.803632928674,-0.2780767545075772,95632.05021819139,105028.41848675102,0.0716566492535241
2020-06-08 17:00:00-04:00,104534.43534707745,3909.291174548765,-0.33284667058873674,105790.71794070453,115513.54902658272,0.05240502743589874
2020-06-09 17:00:00-04:00,122544.3952769448,6040.0739771547,-0.21712173771964377,124942.2483160215,145676.1695966177,0.2290888289555713
2020-06-10 15:00:00-04:00,124836.2607278808,6130.8632322837275,-0.27529073569318596,127028.8950409008,144778.24285425222,0.13771963566410905
2020-06-11 17:00:00-04:00,113019.34684052844,4458.955356480737,-0.17327341964413648,114931.03564699744,132540.56409793024,0.2513784527603285
