,Ours,Competitor1,Competitor2,PJM,Demand
2024-11-13 15:00:00,94246.96038477495,88743.56767123289,96492.67019389858,160402,85960.0
2024-11-13 16:00:00,94388.68102531567,89751.63671232876,96182.89184106472,160351,89164.0
2024-11-13 17:00:00,99559.32950689178,93444.00794520548,95874.11650137421,161917,93856.0
2024-11-13 18:00:00,100360.49816236328,99260.17589041096,95566.40650442948,162813,95096.0
2024-11-13 19:00:00,101310.16998085368,99821.08109589042,95259.8281919134,161190,94354.0
2024-11-13 20:00:00,100360.49816236328,97745.24493150684,94954.4521820925,161427,92964.0
2024-11-13 21:00:00,95442.76328716648,93885.08739726029,94650.35365206424,161596,90381.0
2024-11-13 22:00:00,94246.96038477495,89864.75616438357,94347.61263895594,161668,86145.0
2024-11-13 23:00:00,94290.41294178151,86611.0,94046.31436136473,161636,81925.0
2024-11-14 00:00:00,93781.99967089576,81518.0,99761.39305583501,158283,79166.0
2024-11-14 01:00:00,93781.99967089576,79545.95863013699,99442.83062860415,158206,77523.0
2024-11-14 02:00:00,93781.99967089576,79159.0,99124.73296493191,157682,76619.0
2024-11-14 03:00:00,93781.99967089576,79159.0,98807.12808105141,157704,76599.0
2024-11-14 04:00:00,93781.99967089576,81090.82301369862,98490.04575914818,157879,78231.0
2024-11-14 05:00:00,94290.41294178151,87228.17643835617,98173.51766199943,158318,82521.0
2024-11-14 06:00:00,94766.05092722652,93929.0,97857.57745521204,159682,89226.0
2024-11-14 07:00:00,104069.06265734372,97849.88465753425,97542.26093757301,160624,92992.0
2024-11-14 08:00:00,104069.06265734372,97879.31342465754,97227.6061800575,161411,93518.0
2024-11-14 09:00:00,100448.79698338918,97968.0,96913.6536740806,161447,93300.0
2024-11-14 10:00:00,100360.49816236328,96973.31342465754,96600.44648961451,160150,93185.0
2024-11-14 11:00:00,97352.47188285024,96130.6389041096,96288.03044383907,160147,92474.0
2024-11-14 12:00:00,94766.05092722652,93632.20493150684,95976.45428103751,159753,91927.0
2024-11-14 13:00:00,94686.93761446084,93050.79589041095,95665.76986449803,159787,91705.0
2024-11-14 14:00:00,94686.93761446084,94759.03753424658,95356.03238123388,159932,91583.0
2024-11-14 15:00:00,94686.93761446084,92170.40547945203,95047.3005603918,160723,91887.0
2024-11-14 16:00:00,95633.64432997846,93035.30849315067,94739.63690627496,161491,93488.0
2024-11-14 17:00:00,100360.49816236328,97760.0,94433.10794697357,161466,96079.0
2024-11-14 18:00:00,101501.86686400014,99882.0,94127.78449966243,160888,95746.0
2024-11-14 19:00:00,101111.20960214664,96569.15863013698,93823.74195369805,161254,94098.0
2024-11-14 20:00:00,100360.49816236328,97787.2405479452,93521.0605727249,161319,91816.0
2024-11-14 21:00:00,94686.93761446084,93758.77232876713,93219.82581708602,161484,88306.0
2024-11-14 22:00:00,94246.96038477495,88360.32136986301,92920.12868791803,161455,83976.0
2024-11-14 23:00:00,93781.99967089576,84746.0,92622.06609440979,161477,80003.0
2024-11-15 00:00:00,93781.99967089576,79177.06712328768,98297.51796283184,154895,76666.0
2024-11-15 01:00:00,93781.99967089576,77962.9101369863,97979.9336749618,154822,74584.0
2024-11-15 02:00:00,93781.99967089576,75978.0,97662.87326917352,155202,73345.0
2024-11-15 03:00:00,93781.99967089576,76296.1306849315,97346.36849430701,155036,73136.0
2024-11-15 04:00:00,93781.99967089576,77411.0,97030.4531077434,155110,74356.0
2024-11-15 05:00:00,93781.99967089576,81518.0,96715.16300614022,155873,78132.0
2024-11-15 06:00:00,94246.96038477495,88746.87095890411,96400.53636485084,157202,84638.0
2024-11-15 07:00:00,96554.21685137787,94316.12219178084,96086.61378661446,157803,88488.0
2024-11-15 08:00:00,99356.37937643492,96141.0,95773.43846014247,158468,89332.0
2024-11-15 09:00:00,94686.93761446084,90866.58958904108,95461.05632927046,158348,88573.0
2024-11-15 10:00:00,94505.21168840276,89953.02219178082,95149.51627338881,158555,87521.0
2024-11-15 11:00:00,94246.96038477495,89885.20712328768,94838.87029991616,158815,86686.0
2024-11-15 12:00:00,94246.96038477495,88682.6495890411,94529.17374963089,158904,85956.0
2024-11-15 13:00:00,94246.96038477495,89897.10246575343,94220.48551573194,159204,85464.0
2024-11-15 14:00:00,94246.96038477495,89897.10246575343,93912.86827755929,158703,85413.0
2024-11-15 15:00:00,94246.96038477495,89897.10246575343,93606.38874997057,158773,85983.0
2024-11-15 16:00:00,94246.96038477495,88410.83589041096,93301.11794943472,158321,87680.0
2024-11-15 17:00:00,94505.21168840276,91533.0,92997.1314779803,158748,90679.0
2024-11-15 18:00:00,94686.93761446084,91533.0,92694.50982621209,159201,90332.0
2024-11-15 19:00:00,94686.93761446084,91493.34575342466,92393.3386966927,162356,88636.0
2024-11-15 20:00:00,94388.68102531567,91054.14657534249,92093.70934907788,162271,86777.0
2024-11-15 21:00:00,94246.96038477495,88371.63178082192,91795.71896848506,162539,84297.0
2024-11-15 22:00:00,94145.98700531654,84191.0,91499.47105868135,162671,80965.0
2024-11-15 23:00:00,93781.99967089576,81258.0,91205.07586178319,163182,77448.0
2024-11-16 00:00:00,93781.99967089576,76324.0,96835.70113589219,156427,74739.0
2024-11-16 01:00:00,93781.99967089576,75150.69397260275,96519.21971630552,156656,72885.0
2024-11-16 02:00:00,93781.99967089576,74547.0,96203.32918546269,156585,71417.0
2024-11-16 03:00:00,93781.99967089576,73569.05369863014,95888.06553807261,156475,70803.0
2024-11-16 04:00:00,93781.99967089576,74547.0,95573.4670540598,156879,70932.0
2024-11-16 05:00:00,93781.99967089576,76397.0,95259.57444769505,157531,72445.0
2024-11-16 06:00:00,93781.99967089576,77985.21424657534,94946.4310266514,158559,74888.0
2024-11-16 07:00:00,93781.99967089576,81563.21150684931,94634.08286165795,160822,77086.0
2024-11-16 08:00:00,93781.99967089576,81469.0,94322.57896746721,163233,78378.0
2024-11-16 09:00:00,93781.99967089576,85126.0,94011.9714959012,163709,78741.0
2024-11-16 10:00:00,93781.99967089576,81293.0,93702.31594179585,164109,78708.0
2024-11-16 11:00:00,93781.99967089576,80472.06712328768,93393.6713627155,164244,78068.0
2024-11-16 12:00:00,93781.99967089576,82141.7504109589,93086.10061337303,164986,77366.0
2024-11-16 13:00:00,93781.99967089576,79092.0,92779.67059575277,164724,76743.0
2024-11-16 14:00:00,93781.99967089576,79689.77315068494,92474.45252600305,164191,76672.0
2024-11-16 15:00:00,93781.99967089576,79424.6095890411,92170.522219237,162370,77952.0
2024-11-16 16:00:00,93781.99967089576,82995.0,91867.96039346121,161340,80246.0
2024-11-16 17:00:00,94145.98700531654,85960.32356164383,91566.85299393184,162118,83910.0
2024-11-16 18:00:00,94290.41294178151,87275.0,91267.29153933057,163241,84481.0
2024-11-16 19:00:00,94290.41294178151,87275.0,90969.3734912467,163094,83721.0
2024-11-16 20:00:00,94290.41294178151,85899.08657534247,90673.20264855411,163050,82578.0
2024-11-16 21:00:00,93781.99967089576,83047.0,90378.88956838312,163722,81013.0
2024-11-16 22:00:00,93781.99967089576,79612.41260273973,90086.55201550075,163670,78484.0
2024-11-16 23:00:00,93781.99967089576,77973.0,89796.31544204186,163635,76089.0
2024-11-17 00:00:00,93781.99967089576,76397.0,95376.20568528122,161318,74063.0
2024-11-17 01:00:00,93781.99967089576,74013.0,95060.96853013233,160872,72807.0
2024-11-17 02:00:00,93781.99967089576,73441.60684931507,94746.39824429032,161099,72016.0
2024-11-17 03:00:00,93781.99967089576,73592.0,94432.53565376434,161372,72133.0
2024-11-17 04:00:00,93781.99967089576,74547.0,94119.4241854105,161216,72756.0
2024-11-17 05:00:00,93781.99967089576,76397.0,93807.11003708905,161712,74451.0
2024-11-17 06:00:00,93781.99967089576,79300.0,93495.64235916885,162979,77117.0
2024-11-17 07:00:00,93781.99967089576,82611.88712328768,93185.07344814825,164601,79327.0
2024-11-17 08:00:00,93781.99967089576,81409.0,92875.45895321263,166059,79327.0
2024-11-17 09:00:00,93781.99967089576,82631.09041095892,92566.85809660438,165254,78157.0
2024-11-17 10:00:00,93781.99967089576,79436.0,92259.3339087442,163744,76176.0
2024-11-17 11:00:00,93781.99967089576,76921.78876712329,91952.95347910225,163373,75513.0
2024-11-17 12:00:00,93781.99967089576,75778.88657534246,91647.78822389043,162606,75337.0
2024-11-17 13:00:00,93781.99967089576,76180.0,91343.91417171867,161827,75135.0
2024-11-17 14:00:00,93781.99967089576,76007.02931506849,91041.41226843669,161177,75900.0
2024-11-17 15:00:00,93781.99967089576,81028.01479452055,90740.36870246634,159696,77104.0
2024-11-17 16:00:00,93781.99967089576,82174.0,90440.87525202168,158522,80334.0
2024-11-17 17:00:00,93945.51217676938,85991.0,90143.029655706,158573,85158.0
2024-11-17 18:00:00,94290.41294178151,87275.0,89846.9360080813,159236,86147.0
2024-11-17 19:00:00,94246.96038477495,87678.0,89552.70518191397,162869,85349.0
2024-11-17 20:00:00,94290.41294178151,87275.0,89260.45527891704,162670,84115.0
2024-11-17 21:00:00,93781.99967089576,85176.30219178082,88970.31211093796,162828,81578.0
2024-11-17 22:00:00,93781.99967089576,82115.1695890411,88682.4097136705,163548,78496.0
2024-11-17 23:00:00,93781.99967089576,77973.0,88396.89089511783,163541,75243.0
2024-11-18 00:00:00,93781.99967089576,74425.0,103893.60659574239,158230,72976.0
2024-11-18 01:00:00,93781.99967089576,72704.95150684932,103575.07233284345,158176,71759.0
2024-11-18 02:00:00,93781.99967089576,72394.0,103257.00434220015,157992,71263.0
2024-11-18 03:00:00,93781.99967089576,73432.0594520548,102939.43072848047,157616,71396.0
2024-11-18 04:00:00,93781.99967089576,75325.5597260274,102622.38136776157,158050,73104.0
2024-11-18 05:00:00,93781.99967089576,79159.0,102305.88802251524,158841,77476.0
2024-11-18 06:00:00,94290.41294178151,85981.56109589041,101989.98446421603,159761,84330.0
2024-11-18 07:00:00,94686.93761446084,94702.0,101674.70660409011,160001,88406.0
2024-11-18 08:00:00,94686.93761446084,94702.0,101360.0926325386,162162,87918.0
2024-11-18 09:00:00,94388.68102531567,93965.15780821918,101046.18316784079,161025,86152.0
2024-11-18 10:00:00,94246.96038477495,89406.20712328768,100733.02141474844,161335,84961.0
2024-11-18 11:00:00,94246.96038477495,88728.29726027398,100420.65333364501,163598,84187.0
2024-11-18 12:00:00,94246.96038477495,89874.34602739727,100109.12782098328,163155,84005.0
2024-11-18 13:00:00,94246.96038477495,87078.39479452054,99798.4969017671,162158,84213.0
2024-11-18 14:00:00,94246.96038477495,86161.58465753424,99488.81593488486,161431,84436.0
2024-11-18 15:00:00,94246.96038477495,88743.56767123289,99180.14383217592,160796,84932.0
2024-11-18 16:00:00,94246.96038477495,93961.19780821918,98872.54329215352,161378,86965.0
2024-11-18 17:00:00,94686.93761446084,94769.20876712327,98566.08104938129,162222,90606.0
2024-11-18 18:00:00,94766.05092722652,93413.2698630137,98260.82814056677,163623,90596.0
2024-11-18 19:00:00,94686.93761446084,93747.43479452057,97956.86018850618,163956,89157.0
2024-11-18 20:00:00,94505.21168840276,94702.0,97654.2577050957,164212,87116.0
2024-11-18 21:00:00,94246.96038477495,86505.01287671232,97353.1064147051,165244,83910.0
2024-11-18 22:00:00,93781.99967089576,85265.02767123288,97053.49759930206,165098,79820.0
2024-11-18 23:00:00,93781.99967089576,77842.80602739727,96755.52846680673,166185,75495.0
2024-11-19 00:00:00,93781.99967089576,76397.0,102429.79196742033,161918,72613.0
2024-11-19 01:00:00,93781.99967089576,74802.0,102112.23909227451,161908,70867.0
2024-11-19 02:00:00,93781.99967089576,72282.91945205479,101795.21179865916,161607,70132.0
2024-11-19 03:00:00,93781.99967089576,71742.0,101478.74193563168,161450,69994.0
2024-11-19 04:00:00,93781.99967089576,74412.49616438356,101162.86336699718,161744,71405.0
2024-11-19 05:00:00,93781.99967089576,78001.0,100847.61210244441,162573,75668.0
2024-11-19 06:00:00,94290.41294178151,85390.0,100533.02643738236,164168,82508.0
2024-11-19 07:00:00,94388.68102531567,93974.0,100219.14710208481,165220,86527.0
2024-11-19 08:00:00,94505.21168840276,93974.0,99906.0174207565,166355,86515.0
